freq,sectperf,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,TOTAL,PC_GDP,ITC4	1.3 	1.28 e	1.25 	1.28 b	1.28 	1.32 	1.34 	1.36 	1.29 	1.17 	1.19 	: 
A,TOTAL,PC_GDP,ITF1	0.86 	0.95 e	0.94 	1.01 b	0.97 	0.93 	1.06 	1.02 	1.14 	1.08 	1.1 	: 
A,TOTAL,PC_GDP,ITF2	0.76 	0.66 e	: @C	: @C	1.09 	1.27 	1.16 	1.03 	0.95 	0.67 	0.78 	: 
A,TOTAL,PC_GDP,ITF3	1.29 	1.25 e	1.24 	1.21 b	1.23 	1.29 	1.29 	1.34 	1.33 	1.26 	1.2 	: 
A,TOTAL,PC_GDP,ITF4	0.82 	0.98 e	0.99 	0.82 b	0.77 	0.78 	0.81 	0.84 	0.86 	0.84 	0.82 	: 
A,TOTAL,PC_GDP,ITF5	0.52 	0.56 e	0.61 	: @C	0.65 	0.61 	0.64 	0.67 	0.54 	0.63 	0.64 	: 
A,TOTAL,PC_GDP,ITF6	0.55 	0.8 e	0.71 	0.57 b	0.52 	0.54 	0.57 	0.61 	0.59 	0.58 	0.64 	: 
A,TOTAL,PC_GDP,ITG1	0.9 	1.07 e	1 	0.79 b	0.76 	0.83 	0.84 	0.9 	0.92 	0.88 	0.98 	: 
A,TOTAL,PC_GDP,ITG2	0.78 	0.77 e	0.82 	0.84 b	0.77 	0.81 	0.84 	0.9 	0.83 	0.86 	0.83 	: 
A,TOTAL,PC_GDP,ITH1	0.6 	0.67 e	0.71 	0.65 b	0.68 	0.83 	0.75 	0.91 	0.83 	0.74 	0.65 	: 
A,TOTAL,PC_GDP,ITH2	1.73 	1.73 e	1.73 	1.5 b	1.52 	1.54 	1.54 	1.58 	1.48 	1.47 	1.59 	: 
A,TOTAL,PC_GDP,ITH3	1.13 	1.08 e	1.11 	1.28 b	1.32 	1.39 	1.38 	1.39 	1.27 	1.23 	1.2 	: 
A,TOTAL,PC_GDP,ITH4	1.51 	1.56 e	1.57 	1.59 b	1.57 	1.65 	1.68 	1.73 	1.66 	1.51 	1.69 	: 
A,TOTAL,PC_GDP,ITH5	1.65 	1.71 e	1.8 	1.97 b	1.98 	2.03 	2.08 	2.11 	2.16 	1.99 	2.09 	: 
A,TOTAL,PC_GDP,ITI1	1.28 	1.3 e	1.32 	1.32 b	1.45 	1.56 	1.61 	1.66 	1.58 	1.5 	1.37 	: 
A,TOTAL,PC_GDP,ITI2	0.83 	0.95 e	: @C	: @C	0.96 	1.01 	1.02 	1.05 	0.98 	0.9 	0.88 	: 
A,TOTAL,PC_GDP,ITI3	0.83 	0.88 e	0.86 	1.03 b	1.1 	1.08 	1.07 	1.02 	1 	1.01 	0.94 	: 
A,TOTAL,PC_GDP,ITI4	1.63 	1.6 e	1.57 	1.62 b	1.68 	1.73 	1.85 	1.98 	2 	1.77 	1.8 	: 
A,TOTAL,PC_GDP,LT01	: 	: 	1.6 	1.17 	1.15 	1.28 	1.44 	1.76 	1.66 	1.55 	1.47 	: 
A,TOTAL,PC_GDP,LT02	: 	: 	0.66 	0.62 	0.73 	0.69 	0.66 	0.67 	0.7 	0.67 	0.69 	: 
A,TOTAL,PC_GDP,LU00	1.23 	1.22 	1.25 	1.27 	1.24 	1.17 	1.18 	1.1 e	1.04 	1.07 	1.06 	0.99 p
A,TOTAL,PC_GDP,LV00	0.64 	0.71 	0.64 	0.45 	0.53 	0.66 	0.66 	0.76 	0.74 	0.81 	0.82 	0.92 
A,TOTAL,PC_GDP,LVZZ	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 
A,TOTAL,PC_GDP,ME00	0.38 	0.36 	0.38 	0.33 	0.35 	0.51 	0.37 	: 	0.51 p	0.32 p	0.34 p	0.29 p
A,TOTAL,PC_GDP,MK00	: 	: 	0.44 	0.44 	0.35 	0.36 	0.37 	0.37 	: 	0.37 	0.37 	: 
A,TOTAL,PC_GDP,MT00	0.73 	0.68 	0.7 	0.54 	0.53 	0.55 	0.55 	0.6 	0.67 	0.58 	0.58 	0.54 
A,TOTAL,PC_GDP,MTZZ	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 
A,TOTAL,PC_GDP,NL11	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL12	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL13	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL21	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL22	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL23	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL31	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 	: 	: 
A,TOTAL,PC_GDP,NL32	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL33	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 	: 	: 
A,TOTAL,PC_GDP,NL34	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL35	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 
A,TOTAL,PC_GDP,NL36	: 	: 	: 	: 	: 	: 	: 	: 	: 	: @C	: @C	: 
A,TOTAL,PC_GDP,NL41	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NL42	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,TOTAL,PC_GDP,NO01	2.86 	2.84 	3.07 	3.08 	3.18 	3.22 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO02	0.8 	0.78 	0.78 	0.81 	0.92 	0.93 	0.88 	0.93 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO03	1.54 	1.61 	1.59 	1.61 	1.65 	1.67 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO04	1.07 	1.1 	1.18 	1.38 	1.5 	1.48 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO05	1.61 	1.68 	1.91 	1.95 	2.27 	2.43 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO06	4.79 	4.8 	4.94 	4.74 	4.79 	4.61 	5.05 	4.85 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO07	1.64 	1.69 	1.89 	1.9 	2 	1.95 	1.92 	1.91 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO08	: 	: 	: 	: 	: 	: 	: 	2.89 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO09	: 	: 	: 	: 	: 	: 	: 	1.72 	: 	: 	: 	: 
A,TOTAL,PC_GDP,NO0A	: 	: 	: 	: 	: 	: 	: 	2.05 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PL11	0.67 	0.67 	0.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PL12	1.55 	1.7 	1.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PL21	1.32 	1.4 	1.49 	2.17 	1.85 	2.14 	2.23 	2.41 	2.51 	2.54 	2.73 	: 
A,TOTAL,PC_GDP,PL22	0.63 	0.58 	0.61 	0.53 	0.63 	0.72 	0.89 	0.87 	0.95 	0.93 	1 	: 
A,TOTAL,PC_GDP,PL31	0.61 	1.03 	1.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PL32	1.22 	1.38 	1.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PL33	0.35 	0.34 	0.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PL34	0.55 	0.6 	0.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PL41	0.63 	0.64 	0.75 	0.59 	0.63 	0.74 	0.82 	0.86 	0.9 	0.95 	1.14 	: 
A,TOTAL,PC_GDP,PL42	0.3 	0.28 	0.33 	0.27 	0.45 	0.54 	0.6 	0.52 	0.65 	0.68 	0.76 	: 
A,TOTAL,PC_GDP,PL43	0.26 	0.18 	0.22 	0.2 	0.38 	0.48 	0.48 	0.42 	0.34 	0.38 	0.45 	: 
A,TOTAL,PC_GDP,PL51	0.66 	0.74 	0.85 	0.7 	0.92 	1.09 	1.25 	1.29 	1.39 	1.51 	1.66 	: 
A,TOTAL,PC_GDP,PL52	0.23 	0.34 	0.32 	0.36 	0.46 	0.63 	0.55 	0.55 	0.58 	0.79 	0.78 	: 
A,TOTAL,PC_GDP,PL61	0.31 	0.34 	0.46 	0.35 	0.5 	0.65 	0.73 	0.87 	1.02 	0.9 	0.85 	: 
A,TOTAL,PC_GDP,PL62	0.37 	0.27 	0.32 	0.33 	0.51 	0.55 	0.8 	0.76 	1.21 	1.02 	0.96 	: 
A,TOTAL,PC_GDP,PL63	1 	1.07 	1.12 	1.15 	1.09 	1.4 	1.69 	1.74 	1.84 	1.86 	2.32 	: 
A,TOTAL,PC_GDP,PL71	: 	: 	: 	0.62 	0.72 	0.94 	0.99 	1.13 	1.13 	1.01 	0.98 	: 
A,TOTAL,PC_GDP,PL72	: 	: 	: 	0.31 	0.31 	0.56 	0.53 	0.51 	0.48 	0.41 	0.64 	: 
A,TOTAL,PC_GDP,PL81	: 	: 	: 	0.88 	0.88 	1.01 	1.14 	1.17 	1.14 	1.15 	1.4 	: 
A,TOTAL,PC_GDP,PL82	: 	: 	: 	1.05 	1.03 	1.1 	1.2 	1.29 	1.29 	1.17 	1.19 	: 
A,TOTAL,PC_GDP,PL84	: 	: 	: 	0.44 	0.59 	0.71 	0.81 	0.82 	0.87 	0.81 	0.92 	: 
A,TOTAL,PC_GDP,PL91	: 	: 	: 	2.09 	2.24 	2.44 	2.57 	2.71 	2.71 	2.79 	2.79 	: 
A,TOTAL,PC_GDP,PL92	: 	: 	: 	0.31 	0.34 	0.45 	0.48 	0.45 	0.35 	0.29 	0.28 	: 
A,TOTAL,PC_GDP,PT11	1.39 	1.35 	1.35 	1.36 	1.5 	1.51 	1.53 	1.81 	1.97 	1.98 	1.96 	2.02 
A,TOTAL,PC_GDP,PT15	0.36 	0.39 	0.37 	0.35 	0.3 	0.33 	0.4 	0.5 	0.48 	0.46 	0.49 	0.44 
A,TOTAL,PC_GDP,PT16	1.29 	1.35 	1.23 	1.27 	1.32 	1.3 	1.36 	1.43 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PT17	1.68 	1.58 	1.52 	1.6 	1.57 	1.62 	1.67 	1.95 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PT18	0.46 	0.47 	0.51 	0.54 	0.56 	0.67 	0.78 	0.88 	: 	: 	: 	: 
A,TOTAL,PC_GDP,PT19	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.85 	1.96 	2.05 
A,TOTAL,PC_GDP,PT1A	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.13 	2.08 	2.17 
A,TOTAL,PC_GDP,PT1B	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.11 	0.9 	0.9 
A,TOTAL,PC_GDP,PT1C	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.79 	0.82 	0.82 
A,TOTAL,PC_GDP,PT1D	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.81 	0.79 	0.87 
A,TOTAL,PC_GDP,PT20	0.35 	0.35 	0.34 	0.3 	0.3 	0.32 	0.3 	0.34 	0.41 	0.48 	0.49 	0.41 
A,TOTAL,PC_GDP,PT30	0.34 	0.35 	0.35 	0.3 	0.35 	0.38 	0.44 	0.52 	0.46 	0.38 	0.48 	0.41 
A,TOTAL,PC_GDP,RO11	0.32 	0.27 	0.41 	0.26 	0.24 	0.22 	0.18 	0.2 	0.25 	0.24 	0.29 	: 
A,TOTAL,PC_GDP,RO12	0.13 	0.32 	0.33 	0.32 	0.27 	0.3 	0.3 	0.34 	0.35 	0.46 	0.41 	: 
A,TOTAL,PC_GDP,RO21	0.31 	0.28 	0.44 	0.22 	0.17 	0.19 	0.3 	0.28 	0.25 	0.25 	0.25 	: 
A,TOTAL,PC_GDP,RO22	0.06 	0.06 	0.08 	0.09 	0.07 	0.08 	0.08 	0.09 	0.1 	0.1 	0.12 	: 
A,TOTAL,PC_GDP,RO31	0.34 	0.34 	0.35 	0.39 	0.34 	0.32 	0.36 	0.35 	0.27 	0.23 	0.4 	: 
A,TOTAL,PC_GDP,RO32	0.82 	0.79 	0.92 	1.06 	1.22 	1.17 	1.07 	0.93 	0.97 	0.84 	0.82 	: 
A,TOTAL,PC_GDP,RO41	0.19 	0.15 	0.21 	0.15 	0.2 	0.23 	0.12 	0.1 	0.12 	0.13 	0.17 	: 
A,TOTAL,PC_GDP,RO42	0.28 	0.18 	0.43 	0.45 	0.4 	0.42 	0.38 	0.63 	0.67 	0.79 	1.18 	: 
A,TOTAL,PC_GDP,RS11	: 	: 	: 	: 	: 	1.5 	1.53 	1.57 	1.74 	1.58 	1.13 	1.39 
A,TOTAL,PC_GDP,RS12	: 	: 	: 	: 	: 	0.89 	0.69 	0.68 	0.9 	0.87 	1.29 	1.12 
A,TOTAL,PC_GDP,RS21	: 	: 	: 	: 	: 	0.13 	0.17 	0.17 	0.16 	0.16 	0.19 	0.19 
A,TOTAL,PC_GDP,RS22	: 	: 	: 	: 	: 	0.29 	0.24 	0.29 	0.21 	0.17 	0.25 	0.17 
A,TOTAL,PC_GDP,RSZZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,TOTAL,PC_GDP,SE11	3.82 	: 	3.72 	: 	3.73 	: 	3.33 	: 	3.57 	: 	3.53 	: 
A,TOTAL,PC_GDP,SE12	3.86 	: 	3.88 	: 	3.54 	: 	3.95 	: 	3.65 	: 	4.37 	: 
A,TOTAL,PC_GDP,SE21	1.45 	: 	1.5 	: 	: @C	: 	: @C	: 	1.64 	: 	1.43 	: 
A,TOTAL,PC_GDP,SE22	3.75 	: 	3.19 	: 	3.18 	: 	3.64 	: 	3.25 	: 	3.66 	: 
A,TOTAL,PC_GDP,SE23	3.59 	: 	3.75 	: 	4.81 	: 	5.11 	: 	5.31 	: 	5.63 	: 
A,TOTAL,PC_GDP,SE31	1.34 	: 	1.29 	: 	1.21 	: 	1.27 	: 	1.05 	: 	0.96 	: 
A,TOTAL,PC_GDP,SE32	0.79 	: 	0.74 	: 	: @C	: 	: @C	: 	0.7 	: 	1.09 	: 
A,TOTAL,PC_GDP,SE33	2.46 	: 	2.66 	: 	2.33 	: 	2.47 	: 	2.51 	: 	2.3 	: 
A,TOTAL,PC_GDP,SEZZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,TOTAL,PC_GDP,SI01	2.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,SI02	2.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,SI03	2.06 	1.94 	1.62 	1.49 	1.41 	1.49 	1.6 	1.59 	1.52 	1.42 	1.43 	: 
A,TOTAL,PC_GDP,SI04	2.97 	2.7 	2.65 	2.41 	2.22 	2.29 	2.38 	2.57 	2.59 	2.6 	2.63 	: 
A,TOTAL,PC_GDP,SK01	1.63 	1.45 	1.78 	1.36 	1.58 	1.4 	1.41 	1.49 	1.52 	1.57 	1.77 	: 
A,TOTAL,PC_GDP,SK02	0.34 	0.65 	0.88 	0.54 	0.67 	0.7 	0.62 	0.64 	0.78 	0.83 	0.9 	: 
A,TOTAL,PC_GDP,SK03	0.65 	0.75 	1.13 	0.61 	0.59 	0.61 	0.65 	0.73 	0.72 	0.81 	0.74 	: 
A,TOTAL,PC_GDP,SK04	0.58 	0.56 	0.73 	0.52 	0.53 	0.48 	0.5 	0.64 	0.57 	0.56 	0.57 	: 
A,TOTAL,PC_GDP,TR10	: 	: 	: 	: 	: 	: 	: 	: 	1.37 	1.32 	1.36 	1.67 
A,TOTAL,PC_GDP,TR21	: 	: 	: 	: 	: 	: 	: 	: 	0.89 	0.95 	0.98 	0.91 
A,TOTAL,PC_GDP,TR22	: 	: 	: 	: 	: 	: 	: 	: 	0.52 	0.56 	0.6 	0.63 
A,TOTAL,PC_GDP,TR31	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	0.87 	1.04 	1.09 
A,TOTAL,PC_GDP,TR32	: 	: 	: 	: 	: 	: 	: 	: 	0.46 	0.44 	0.51 	0.57 
A,TOTAL,PC_GDP,TR33	: 	: 	: 	: 	: 	: 	: 	: 	0.99 	0.98 	0.97 	0.97 
A,TOTAL,PC_GDP,TR41	: 	: 	: 	: 	: 	: 	: 	: 	1.47 	1.33 	1.39 	1.38 
A,TOTAL,PC_GDP,TR42	: 	: 	: 	: 	: 	: 	: 	: 	1.94 	1.71 	2.29 	2.21 
A,TOTAL,PC_GDP,TR51	: 	: 	: 	: 	: 	: 	: 	: 	4.3 	4.08 	4.03 	3.88 
A,TOTAL,PC_GDP,TR52	: 	: 	: 	: 	: 	: 	: 	: 	1.05 	0.85 	0.88 	0.74 
A,TOTAL,PC_GDP,TR61	: 	: 	: 	: 	: 	: 	: 	: 	0.69 	0.57 	0.61 	0.7 
A,TOTAL,PC_GDP,TR62	: 	: 	: 	: 	: 	: 	: 	: 	0.45 	0.46 	0.5 	0.44 
A,TOTAL,PC_GDP,TR63	: 	: 	: 	: 	: 	: 	: 	: 	0.26 	0.33 	0.42 	0.33 
A,TOTAL,PC_GDP,TR71	: 	: 	: 	: 	: 	: 	: 	: 	1.5 	0.7 	0.68 	0.79 
A,TOTAL,PC_GDP,TR72	: 	: 	: 	: 	: 	: 	: 	: 	0.94 	0.95 	0.98 	1.04 
A,TOTAL,PC_GDP,TR81	: 	: 	: 	: 	: 	: 	: 	: 	1.08 	0.63 	0.8 	0.91 
A,TOTAL,PC_GDP,TR82	: 	: 	: 	: 	: 	: 	: 	: 	2 	0.57 	0.54 	0.65 
A,TOTAL,PC_GDP,TR83	: 	: 	: 	: 	: 	: 	: 	: 	0.59 	0.66 	0.68 	0.72 
A,TOTAL,PC_GDP,TR90	: 	: 	: 	: 	: 	: 	: 	: 	0.58 	0.71 	0.7 	0.66 
A,TOTAL,PC_GDP,TRA1	: 	: 	: 	: 	: 	: 	: 	: 	1.72 	1.99 	1.53 	1.52 
A,TOTAL,PC_GDP,TRA2	: 	: 	: 	: 	: 	: 	: 	: 	0.88 	0.71 	0.72 	0.85 
A,TOTAL,PC_GDP,TRB1	: 	: 	: 	: 	: 	: 	: 	: 	1.49 	1.16 	1.25 	1.01 
A,TOTAL,PC_GDP,TRB2	: 	: 	: 	: 	: 	: 	: 	: 	1.4 	0.67 	0.7 	0.71 
A,TOTAL,PC_GDP,TRC1	: 	: 	: 	: 	: 	: 	: 	: 	0.46 	0.42 	0.48 	0.49 
A,TOTAL,PC_GDP,TRC2	: 	: 	: 	: 	: 	: 	: 	: 	0.6 	0.47 	0.48 	0.49 
A,TOTAL,PC_GDP,TRC3	: 	: 	: 	: 	: 	: 	: 	: 	0.53 	0.23 	0.26 	0.33 
A,TOTAL,PC_GDP,UKC1	0.97 	0.9 e	0.96 	0.84 e	0.94 	1.13 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKC2	1.1 	1.03 e	1.22 	1.25 e	1.36 	1.37 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKD1	0.55 	0.88 e	1.21 	1.22 e	1.26 	1.37 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKD3	0.81 	0.87 e	0.92 	0.94 e	0.93 	1.22 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKD4	0.87 	0.89 e	0.89 	1 e	0.91 	0.82 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKD6	3.72 	3.2 e	3.97 	3.71 e	2.98 	2.37 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKD7	1.64 	1.67 e	1.56 	2.04 e	2.12 	1.6 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKE1	0.08 	0.72 e	0.77 	0.8 e	0.84 	0.88 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKE2	1.99 	1.4 e	1.56 	1.41 e	1.49 	1.55 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKE3	1.04 	1.07 e	1.21 	1.22 e	1.48 	1.33 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKE4	1.08 	1.05 e	1.03 	1.01 e	1.13 	1.08 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKF1	2.54 	2.66 e	2.69 	2.78 e	2.47 	2.85 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKF2	1.23 	1.2 e	1.14 	1.2 e	1.12 	1.15 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKF3	0.33 	0.36 e	0.35 	0.44 e	0.47 	0.44 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKG1	2.51 	2.93 e	3.19 	3.04 e	3.87 	3.98 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKG2	0.64 	0.63 e	0.65 	0.76 e	0.66 	0.81 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKG3	1.65 	1.71 e	1.84 	1.89 e	1.55 	1.68 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKH1	4.76 	5.08 e	4.83 	4.56 e	4.68 	5.47 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKH2	3.75 	3.19 e	3.2 	3.29 e	3.12 	2.95 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKH3	1.58 	1.6 e	1.59 	1.64 e	1.61 	1.55 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKI1	1.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKI2	0.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKI3	1.62 	1.65 e	1.59 	1.42 e	1.57 	1.63 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKI4	0.43 	0.51 e	0.53 	0.5 e	0.59 	0.67 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKI5	0.25 	0.25 e	0.33 	0.32 e	0.29 	0.31 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKI6	0.55 	0.54 e	0.42 	0.43 e	0.5 	0.46 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKI7	0.49 	0.73 e	0.97 	1.48 e	1.5 	1.36 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKJ1	3.38 	3.53 e	3.52 	3.67 e	3.63 	3.65 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKJ2	1.53 	1.38 e	1.53 	1.46 e	1.56 	1.55 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKJ3	2.57 	2.39 e	2.1 	1.87 e	1.58 	1.65 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKJ4	1.26 	1.27 e	1.23 	1.24 e	1.23 	1.34 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKK1	2.51 	2.54 e	2.02 	2.03 e	2.14 	2.19 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKK2	0.83 	0.82 e	0.85 	0.81 e	0.78 	0.83 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKK3	0.2 	0.24 e	0.38 	0.37 e	0.37 	0.35 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKK4	0.81 	0.88 e	1.09 	1.14 e	1.18 	1.27 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKL1	0.62 	0.83 e	0.78 	0.84 e	0.97 	0.99 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKL2	1.68 	1.46 e	1.13 	1.3 e	1.16 	1.19 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKM2	2.2 	2.18 e	2.1 	2.13 e	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKM3	1.08 	1.01 e	1.1 	1.18 e	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKM5	1.33 	1.84 	1.31 	1.51 	1.49 	1.48 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKM6	0.61 	0.52 	0.49 	0.49 	0.48 	0.45 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKM7	: 	2.11 	2.06 	2.09 	2.22 	2.33 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKM8	: 	1.43 	1.54 	1.65 	1.75 	1.8 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKM9	: 	0.23 	0.25 	0.3 	0.35 	0.36 	: 	: 	: 	: 	: 	: 
A,TOTAL,PC_GDP,UKN0	1.54 	1.25 e	1.55 	1.46 e	1.47 	1.51 	: 	: 	: 	: 	: 	: 
