Project ID;Project acronym;Status;Title;Project URL;Project URL 2;Description;Start date;End date;Organisation name;Organisation name ENG;Organisation ID;Vat Number organisation;Organisation country;Geographical coordinates Organisation;Organization URL;Programme;Key Action;Call;Role of University;Total cost of project;EU Contribution;EcContribution per partner;Number of Participants
101036900;REFFECT AFRICA;Ongoing;RENEWABLE ENERGIES FOR AFRICA: EFFECTIVE VALORIZATION OF AGRI-FOOD WASTES;https://www.reffect-africa.eu/;http://cordis.europa.eu/project/id/101036900;The number of people without access to electricity in Africa had dropped in recent years, from 860 million in 2018 to 770 million in 2019. However, the COVID-19 pandemic is reversing this positive trend. In this context, the EU-funded REFFECT AFRICA project will develop innovative, reliable and adapted sustainable energy solutions based on the valorisation of biomass wastes from agriculture and the food industry through biomass gasification. Full-scale demonstrators will be built in Morocco, Ghana and South Africa to consider both urbanised and rural contexts on the continent. The project will propose solutions for on-grid and off-grid communities, such as the generation of renewable energy, its transmission and the use of storage systems.;1-11-2021;31-10-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;H2020-EU.3.3. - SOCIETAL CHALLENGES - Secure, clean and efficient energy;LC-GD-2-3-2020 - Accelerating the green transition and energy access Partnership with Africa;H2020-LC-GD-2020;Coordinator;"	8100151,25";6.962.820,78;;28
CA21167;UniDive;Ongoing;Universality, diversity and idiosyncrasy in language technology;https://unidive.lisn.upsaclay.fr/;https://www.cost.eu/actions/CA21167/;Efficient access to the constantly growing quantities of data, especially of language data, largely relies on advances in data science. This domain includes natural language processing (NLP), which is currently booming, to the benefit of many end users. However, this optimization-based technological progress poses an important challenge:   accounting for and fostering language diversity. The UniDive Action takes two original stands on this challenge. Firstly, it aims at embracing both inter- and intra-language diversity, i.e. a diversity understood both in terms of the differences among the existing languages and of the variety of linguistic phenomena exhibited within a language. Secondly, UniDive does not assume that linguistic diversity is to be protected against technological progress but strives for both of these aims jointly, to their mutual benefit. Its approach is to: (i) pursue NLP-applicable universality of terminologies and methodologies, (ii) quantify inter- and intra-linguistic diversity, (iii) boost and coordinate universality- and diversity-driven development of language resources and tools. UniDive builds upon previous experience of European networks and projects which provided a proof of concept for language modelling and processing, unified across many languages but preserving their diversity. The main benefits of the Action will include, on the theoretical side, a better understanding of language universals, and on the practical side, language resources and tools covering, in a unified framework, a bigger variety of language phenomena in a large number of languages, including low-resourced and endangered ones.;23-9-2022;22-9-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;COST Action;;;Partner;;;;
2022-1-RO01-KA220-HED-000088365;NextGEng;Ongoing;International Cooperation Framework for Next Generation Engineering Students;https://nextgeng.eu/;https://erasmus-plus.ec.europa.eu/projects/search/details/2022-1-RO01-KA220-HED-000088365;The International Cooperation Framework for Next Generation Engineering Students project, NextGEng, is an international consortium with the aim of creating new international teaching models in close collaboration with companies. NextGEng follows the guide lines contemplated by the European Education Area rethinking the teaching methodologies to produce upgraded courses, featuring a student-centered approach in cooperation with other international institutions and companies.;1-10-2022;30-9-2025;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Partnerships for cooperation and exchanges of practices;ErasmusPlus_KA2_2022;Partner;;400.000,00;;6
CA21146;PURPLEGAIN;Ongoing;Fundamentals and applications of purple bacteria biotechnology for resource recovery from waste;https://purplegain.eu/;https://www.cost.eu/actions/CA21146/;"The biotechnological development of purple phototrophic bacteria (PPB) focuses on resource recovery from waste sources, contributing to a circular bioeconomy. 

PURPLEGAIN aims to create a European network to share information, facilitating technology and knowledge transfer between the academic and industrial sectors, related to PPB applications for resource recovery from organic waste sources. Resource recovery includes wastewater or organic waste, open or closed environments, in single or chain processes. The network associates fundamental-focused and applied-research groups, improving lab-scale technology optimization through mechanistic modeling. It benefits the technology transfer from applied-research groups to industry, considerably improving process design.

PURPLEGAIN also aims to create a database for techno-economic, social and environmental impacts studies, which facilitates the marketability of both the PPB-based technologies and the products to extract. Some focused products are polyhydroxyalkanoates, single-cell proteins, biomass for energy, biomass as fertilizer, biohydrogen, carotenoids, terpenoids, organic acids, coenzyme Q10, and 5-aminolevulinic acid.";10-10-2022;9-10-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;COST Action;;;Partner;;;;
CA21123;CUPID;Ongoing;Cancer- Understanding Prevention in Intellectual Disabilities;https://cupidproject.eu/;https://www.cost.eu/actions/CA21123/;There is poor understanding of cancer prevention among people with intellectual disabilities. CUPID will establish a research agenda and knowledge base to improve this in the European Union and beyond. Among the European intellectual disabilities population, many cancer diagnoses are symptomatic presentations following on from behavioural distress or physical changes. Cancer deaths among this population occur up to 20 years earlier than the general population. Factors influencing unequal health status and premature death amongst people with intellectual disabilities warrant further investigation. Article 25 of the United Nations Convention on the Rights of People with Disabilities acknowledges their right to healthcare. The Council of Europe Disability Strategy 2017-2023 recognises health systems failure to engage with and include people with disabilities. Many external and internal factors influence healthcare engagement among this population resulting in long- term health consequences.  External factors include diagnostic overshadowing, paternalism and cancer screening delays during the COVID-19 pandemic. For the person challenges with communication, cognitive ability and decision-making capacity influence healthcare engagement. It is timely to develop collaborative links with the EU research and service provider communities to reach consensus on addressing these challenges. CUPID establishs active working partnerships with academics, researchers, non-governmental organisations, carers, people with intellectual disabilities and policy makers. CUPID will establish a research agenda and exchange information regarding cancer prevention in the intellectual disability population. Short term scientific exchanges, training schools, conferences and seminars using a hybrid approach will explore highlighted issues. Other network funding streams will not support this kind of activity.;25-10-2022;24-10-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;COST Action;;;Partner;;;;
2022-1-BE02-KA220-SCH-000087479;;Ongoing;One Stop CLIL Europe;;https://erasmus-plus.ec.europa.eu/projects/search/details/2022-1-BE02-KA220-SCH-000087479;The One Stop CLIL Europe project aims at high-quality CLIL education. It offers a whole school approach which supports school leaders, language and internal quality coordinators and teachers of CLIL, language teachers and other teachers as well as inititial teacher trainers. To reach this goal a harmonised set of texts and tools are developed with regard to e.g. curriculum realisation, didactics and pedagogy and quality assurance. CLIL support as it currently exists, lacks this holistic approach;1-1-2023;31-12-2025;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Partnerships for cooperation and exchanges of practices;ErasmusPlus_KA2_2022;Partner;;400.000,00;;5
101095065;REPERTORIUM;Ongoing;Researching and Encouraging the Promulgation of European Repertory through Technologies Operating on Records Interrelated Utilising Machines;https://repertorium.eu/;http://cordis.europa.eu/project/id/101095065;"The EU-funded REPERTORIUM project is developing AI tools to automatically digitise and catalogue neumatic and classical manuscripts, and preserve and make accessible European musical heritage through sophisticated linked data models and APIs. Moreover, it is creating state-of-the-art (AI and algorithmic) sound processing technologies (e.g. sound source separation, sound field reconstruction, audio-to-score alignment) that will enable real-time low-cost metaverse-ready immersive audio streaming. Its outcomes will revolutionise music scholarship, enhance streaming revenues and empower musicians, including offering on-demand ""minus-one"" filters for practicing music students. These technologies will form the foundation of a general musical AI that fully unleashes the powers of machine learning upon the domain of European classical music heritage, advancing us towards a human-centred digital world.";1-1-2023;31-12-2025;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;HORIZON.2.2 - Culture, creativity and inclusive society;HORIZON-CL2-2022-HERITAGE-01-02 - Europe’s cultural heritage and arts - promoting our values at home and abroad ;HORIZON-CL2-2022-HERITAGE-01;Coordinator;2.493.650,25;2.493.650,25;;10
101091255;SOIL O-LIVE;Ongoing;THE SOIL BIODIVERSITY AND FUNCTIONALITY OF MEDITERRANEAN OLIVE GROVES: A HOLISTIC ANALYSIS OF THE INFLUENCE OF LAND MANAGEMENT ON OLIVE OIL QUALITY AND SAFETY;https://soilolive.eu/;https://cordis.europa.eu/project/id/101091255;The olive tree is one of the most important oil-producing crops in the Mediterranean region. However, olive growers face many challenges due to intensive agriculture applications, land degradation, biodiversity impoverishment and functionality loss. In this context, the EU-funded SOIL O-LIVE project will implement a set of multidisciplinary and interdisciplinary projects. The aim is to diagnose the environmental situation of olive grove soils on a broad scale. The project will target the most significant areas of olive production in the Mediterranean region. SOIL O-LIVE will analyse the impact of pollution and land degradation on olive groves’ soils, investigate the relationship of soil health status with the quality and safety of olive oil, implement effective soil amendments and ecological restoration practices, and define rigorous ecological thresholds for healthy European olive groves.;1-1-2023;31-12-2027;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;HORIZON.2.6 - Food, Bioeconomy Natural Resources, Agriculture and Environment ;HORIZON-MISS-2021-SOIL-02-03 - Linking soil health to nutritional and safe food;HORIZON-MISS-2021-SOIL-02;Coordinator;6.988.660,00;6.988.660,00;;15
101082621;EMINReM;Ongoing;EMINReM - Master Programme in Eco-Mining and Innovative Natural Resources Management;;https://erasmus-plus.ec.europa.eu/projects/search/details/101082621;"The Project ""Master Program in Eco-Mining Engineering and Innovative Natural Resourses Management (EMINReM)"" Wider Objective is to raise efficiency and ecological sustainability of mining works realization through the Partner-HEIs collaboration for training of new-generation-experts within environmental, economic and management attainments in the field of natural resources extraction and processing. It is aimed at development of the future experts` interdisciplinary openness, capability of understanding technological issues in a systematic and in-depth way, using the tools of modeling and evaluation of potential environmental risks, mitigating them in our fast developing world.
MP in EMINReM will be created in response to the current challenges of sustainable development and market needs. The Project supports transfer of the most recent knowledge and good practices developed at the Programme countries (EUMS/APC) - DE, ES & TR, in the field of Sustainable Eco-Mining Engineering, to other countries not associated to the Erasmus+ Programme (NAPC) - UA, KZ and UZ, considering all challenges that are required by modern EU and national technological, economic and environmental standards and trends (e.g. European Green Deal, Industry 4.0, etc.).
It is foreseen to develop the EU-based MP focused on the integration of the best EU practices and approaches in the field of EMINReM and introduce them in the NAPC HEIs; to develop Teaching Materials for EMINReM MP; to establish EMINReM LABs for students at 7 NAPC HEI; to launch Joint Virtual e-Learning Platform; to provide EMINReM students pilot and Experts' advanced trainings. Targets Groups: Potential HEI Entrants, Students, Teachers & Staff, Industry & NGO Representatives, State Authorities, Employers, Alumni.";1-3-2023;28-2-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Partnerships for cooperation and exchanges of practices;ErasmusPlus_KA2_2022;Partner;;713.174,00;;9
PCI2023-143418;ClimateCropping;Ongoing;Climate Smart Management for Resilient European Cropping Systems;https://www.ucd.ie/climatecropping/;https://www.era-learn.eu/network-information/networks/ejp-soil/2nd-ejp-soil-external-call-for-proposals/climatecropping-climate-smart-management-for-resilient-european-cropping-systems;Funded by the EJP Soil programme, ClimateCropping aims to provide scientific evidence, based on long term experiments, on how management of agricultural soils can contribute to climate change adaptation and mitigation, better cycling of nitrogen, phosphorus nutrients in European cropping systems.;1-6-2023;31-5-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;EJP SOIL;; 2nd EJP SOIL external call for proposals ;Partner;;;;11
2023-1-ES01-KA171-HED-000117451;;Ongoing;Mobility of higher education students and staff supported by external policy funds (KA171-HED) - Coordinator: UNIVERSIDAD DE JAEN (E10208705);;https://erasmus-plus.ec.europa.eu/projects/search/details/2023-1-ES01-KA171-HED-000117451;This action supports physical and blended mobility of higher education students and staff from/to third countries not associated to Erasmus+. Students in all study fields and cycles can take part in a study period or traineeship abroad. Higher education teaching and administrative staff can take part in professional development activities abroad, as well as staff from the field of work in order to teach and train students or staff at higher education institutions.;1-8-2023;31-7-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Learning Mobility of Individuals;ErasmusPlus_KA1_2023;Coordinator;;1.734.175,00;;1
2023-1-IT02-KA220-SCH-000161081;UPWELL;Ongoing;Teachers UPskilling for WELL-being in multicultural classrooms;;https://erasmus-plus.ec.europa.eu/projects/search/details/2023-1-IT02-KA220-SCH-000161081;UPWELL focuses on Professional Development and Teacher Self-Efficiency in Multicultural Classrooms in order to improve teachers well-being, and consequently provide a safe and inclusive space for the students.;1-9-2023;30-12-2025;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Erasmus+;Partnerships for cooperation and exchanges of practices;ErasmusPlus_KA2_2023;Partner;;250.000,00;;6
CA22111;ENVIRO-DEV;Ongoing;A European consortium to determine how complex, real-world environments influence brain development;http://mee.dev;https://www.cost.eu/actions/CA22111/ ;"The early years of brain development are critically influential for life-long outcomes. During early childhood, neurodevelopmental conditions emerge and vulnerabilities for longer-term problems are sown. Homes, schools and neighbourhoods shape children’s life chances, interacting with individual differences in cognition and behaviour to determine access to resources and quality of life. However, because almost all current research measures behaviour and brain function by taking children away from these natural environments into controlled lab settings, our knowledge of how early life settings shape development is surprisingly limited. We understand very little about the mechanisms through which specific environmental features impact development (e.g. the effects of variation in noise, clutter, social interaction etc); how these vary across European nations; and how they interact with neurodiverse learning styles. This limits us from designing personalised practical interventions to tailor early environments for different individuals. Under this COST Action we shall create the infrastructure and networks to allow for transformative new approaches to quantifying variability in the early life physical and social environments experienced by children across the EU. We will bring together currently siloed areas of expertise across Europe in new methods for studying children in their natural habitats; new perspectives on cultural and neurodiversity; and new ethical and legal frameworks to support large-scale collaborative developmental science. Our network will be a partnership across European nations and with neurodiverse communities to enable our work to be underpinned by co-creation, ensuring we are harnessing state-of-the-art research efforts to generate meaningful and impactful real- world outcomes.";22-9-2023;21-9-2027;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;COST Action;;;Partner;;;;
101114988;INCIRCULAR;Ongoing;INtegrating Cybernated Innovation to Raise the scale of Circular Units Looping Allied Regions;https://incircular-project.eu/;https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/44416173/101114988/I3?order=DESC&pageNumber=1&pageSize=50&sortBy=title&isExactMatch=true&frameworkProgramme=44416173;"
Unlocking the innovation potential of European regions in circular plastics. INCIRCULAR offers the first EU interregional lighthouse for repurposing recycled plastic within industrial symbiosis. INCIRCULAR brings together three regional ecosystems involving complementary capabilities in a holistic demonstration project meant to scale up a unique process technology implemented in Slovenia while sourcing technologies from Spanish and French regions (process/digital twinning). ";1-10-2023;30-9-2026;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Interregional Innovation Investments Instrument (I3);I3 Project Grants;I3-2021-INV2a-MANU;Partner;4.284.236,13;2.998.965,31;;8
101114119;LIFE22-CCM-IT-LIFE OLIVER;Ongoing;OLIve tree for Verified Emission Reduction generation;https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43252405/101114119/LIFE2027;https://webgate.ec.europa.eu/life/publicWebsite/project/LIFE22-CCM-IT-LIFE-OLIVER-101114119/olive-tree-for-verified-emission-reduction-generation;LIFE OLIVER aims to develop a financial incentive system for the olive oil production sector based on exchanging emission credits derived from adopting a carbon farming approach in the voluntary carbon credit market. ;1-10-2023;30-9-2027;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;Programme for the Environment and Climate Action (LIFE);;LIFE-2022-SAP-CLIMA-CCM;Partner;2.999.782,06;1.799.869,25;;11
CA22123;EU-MACE;Ongoing;European Materials Acceleration Center for Energy;https://eu-mace.eu/;https://www.cost.eu/actions/CA22123/;Materials have played a decisive role in nearly all rupture technologies in the industrial history of our society. Faced with the current climate, geopolitical and humanitarian crisis, many international and regional entities (political, industrial and scientific alike) recognize the importance of a strong materials innovation ecosystem for driving the clean energy transition. In response, self-driving laboratories (SDL) (a.k.a. MAPs – materials acceleration platforms) are created at institutional, regional and international levels. SDLs integrate combinatorial synthesis, high-throughput characterization, automated analysis and machine learning for fast-track discovery and optimization of advanced materials. While these platforms are proving their effectiveness in producing advanced materials with targeted functionalities and physical properties, a large margin of improvement still exists. Streamlining materials integration into components and to safe and sustainable products is one example challenge in order to enable rupture technology. Another challenge is that of geographical concentration of MAPs that practically excludes a substantial fraction of research labs and tech-companies in Europe from contributing and benefiting from such platforms. Finally, next generation material science researchers need to develop new skills to be able to integrate such systemic and automated approach into their future R&D framework. To this end, EU-MACE will become an ecosystem for accelerated materials development at the user end, gathering researchers and stakeholders with state-of-the-art digital and material competences combined with the market/social pull.  Our inclusive & systemic approach will lay the foundation for a future centre of excellence for advanced functional materials to assist transition toward a united and stronger EU.;3-10-2023;2-10-2027;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;COST Action;;;Partner;;;;
CA22157;RECROP;Ongoing;Reproductive Enhancement of CROP resilience to extreme climate;https://www.recrop-cost.com/;https://www.cost.eu/actions/CA22157/;Climate change is a threat for food security as extreme weather phenomena will reduce the yield of all major crops. Grain and fruit crops which consist the core of human diet are particularly vulnerable due to the sensitivity of sexual reproduction process to abiotic stresses. Consequently, there is an urgent need to generate elite varieties with enhanced reproductive stress resilience. RECROP (Reproductive Enhancement of CROP resilience to extreme climate) is a team of agronomists, physiologists, geneticists, biologists, bioinformaticians and researchers from the field of Machine Learning from public organizations and private sector which will use holistic approaches to understand the grounds of crop sensitivity and design solutions for yield stimulation in the era of climate change. RECROP aims to: (1) Identify the genetic, molecular, and physiological makeup of the sensitivity of crop reproduction, (2) Create a roadmap for the generation of resilient crops, and (3) Provide guidelines of exogenous treatments to increase resilience in a sustainable manner and push the limits of the genetically inherited stress tolerance. The aims will be fulfilled by four Working Groups (WGs) which in addition to research discussions will organize training schools, workshops, conferences, and dissemination activities. RECROP will actively support Early Stage Career researchers through training and networking and support interactions with Near Neighbouring and partner COST countries. RECROP members will be actively involved in building communication channels with Policy Makers to provide scientific advice and support them in scientific-based context of future policies on biotechnology, technology and agriculture sectors.;4-10-2023;3-10-2027;Universidad de Jaén;University of Jaén;999849423;ESQ7350006H;Spain;37.7899027058327, -3.779711294561347;https://www.ujaen.es/;COST Action;;;Partner;;;;
